Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
attElementResistRank11Desc,progression,Attribute,,,Protection Of Elements XI,,,,,,エレメンタルの保護XI,,,,,,元护XI,元護ⅩⅠ,
attElementResistRank12Desc,progression,Attribute,,,Protection Of Elements XII,,,,,,エレメンタルの保護XII,,,,,,元护XII,元護ⅩⅡ,
attElementResistRank13Desc,progression,Attribute,,,Protection Of Elements XIII,,,,,,エレメンタルの保護XIII,,,,,,元护XIII,元護ⅩⅢ,
attElementResistRank14Desc,progression,Attribute,,,Protection Of Elements XIV,,,,,,エレメンタルの保護XIV,,,,,,元护XIV,元護ⅩⅣ,
attElementResistRank15Desc,progression,Attribute,,,Protection Of Elements XV,,,,,,エレメンタルの保護XV,,,,,,元护XV,元護ⅩⅤ,
attElementResistRank16Desc,progression,Attribute,,,Protection Of Elements XVI,,,,,,エレメンタルの保護XVI,,,,,,元护XVI,元護ⅩⅥ,
attElementResistRank17Desc,progression,Attribute,,,Protection Of Elements XVII,,,,,,エレメンタルの保護XVII,,,,,,元护XVII,元護ⅩⅦ,
attElementResistRank18Desc,progression,Attribute,,,Protection Of Elements XVIII,,,,,,エレメンタルの保護XVIII,,,,,,元护XVIII,元護ⅩⅧ,
attElementResistRank19Desc,progression,Attribute,,,Protection Of Elements XIX,,,,,,エレメンタルの保護XIX,,,,,,元护XIX,元護ⅩⅨ,
attElementResistRank20Desc,progression,Attribute,,,Protection Of Elements XX,,,,,,エレメンタルの保護XX,,,,,,元护XX,元護ⅩⅩ,
attElementResistRank1LongDesc,progression,Attribute,,,"Maximum Health +100, Health Recovery +0.1, Maximum Water +100, Maximum Stamina +100, Stamina Recovery +0.1, Attack Speed ​​+ 1%",,,,,,最大HP+100、HP回復+0.1、最大水分+100、最大スタミナ+100、スタミナ回復+0.1、攻撃速度+ 1％,,,,,,最大生命值+100，生命值回復量+0.1，最大水份值+100，最大耐力值+100，耐力值回復量+0.1，攻击速度+1%,最大生命值+100，生命值回復量+0.1，最大水份值+100，最大耐力值+100，耐力值回復量+0.1，攻擊速度+1%,
attElementResistRank2LongDesc,progression,Attribute,,,"Maximum Health +200, Physical Recovery +0.2, Maximum Water +200, Maximum Stamina +200, Stamina Recovery +0.2, Attack Speed ​​+ 3.55%",,,,,,最大HP+200、HP回復+0.2、最大水分+200、最大スタミナ+200、スタミナ回復+0.2、攻撃速度+ 3.55％,,,,,,最大生命值+200，生命值回復量+0.2，最大水份值+200，最大耐力值+200，耐力值回復量+0.2，攻击速度+3.55%,最大生命值+200，生命值回復量+0.2，最大水份值+200，最大耐力值+200，耐力值回復量+0.2，攻擊速度+3.55%,
attElementResistRank3LongDesc,progression,Attribute,,,"Maximum Health +300, Health Recovery +0.3, Maximum Water +300, Maximum Stamina +300, Stamina Recovery +0.3, Attack Speed ​​+ 6.1%",,,,,,最大HP+300、HP回復+0.3、最大水分+300、最大スタミナ+300、スタミナ回復+0.3、攻撃速度+ 6.1％,,,,,,最大生命值+300，生命值回復量+0.3，最大水份值+300，最大耐力值+300，耐力值回復量+0.3，攻击速度+6.1%,最大生命值+300，生命值回復量+0.3，最大水份值+300，最大耐力值+300，耐力值回復量+0.3，攻擊速度+6.1%,
attElementResistRank4LongDesc,progression,Attribute,,,"Maximum Health +400, Physical Recovery +0.4, Maximum Water +400, Maximum Stamina +400, Stamina Recovery +0.5, Attack Speed ​​+ 8.65%",,,,,,最大HP+400、HP回復+0.4、最大水分+400、最大スタミナ+400、スタミナ回復+0.5、攻撃速度+ 8.65％,,,,,,最大生命值+400，生命值回復量+0.4，最大水份值+400，最大耐力值+400，耐力值回復量+0.5，攻击速度+8.65%,最大生命值+400，生命值回復量+0.4，最大水份值+400，最大耐力值+400，耐力值回復量+0.5，攻擊速度+8.65%,
attElementResistRank5LongDesc,progression,Attribute,,,"Maximum Health +500, Health Recovery +0.5, Maximum Moisture +500, Maximum Stamina +500, Stamina Recovery +0.6, Attack Speed ​​+ 11.2%",,,,,,最大HP+500、HP回復+0.5、最大水分+500、最大スタミナ+500、スタミナ回復+0.6、攻撃速度+ 11.2％,,,,,,最大生命值+500，生命值回復量+0.5，最大水份值+500，最大耐力值+500，耐力值回復量+0.6，攻击速度+11.2%,最大生命值+500，生命值回復量+0.5，最大水份值+500，最大耐力值+500，耐力值回復量+0.6，攻擊速度+11.2%,
attElementResistRank6LongDesc,progression,Attribute,,,"Maximum Health +600, Health Recovery +0.6, Maximum Water +600, Maximum Stamina +600, Stamina Recovery +0.7, Attack Speed ​​+ 13.75%",,,,,,最大HP+600、HP回復+0.6、最大水分+600、最大スタミナ+600、スタミナ回復+0.7、攻撃速度+ 13.75％,,,,,,最大生命值+600，生命值回復量+0.6，最大水份值+600，最大耐力值+600，耐力值回復量+0.7，攻击速度+13.75%,最大生命值+600，生命值回復量+0.6，最大水份值+600，最大耐力值+600，耐力值回復量+0.7，攻擊速度+13.75%,
attElementResistRank7LongDesc,progression,Attribute,,,"Maximum Health +700, Physical Recovery +0.7, Maximum Moisture +700, Maximum Stamina +700, Stamina Recovery +0.8, Attack Speed ​​+ 16.3%",,,,,,最大HP+700、HP回復+0.7、最大水分+700、最大スタミナ+700、スタミナ回復+0.8、攻撃速度+ 16.3％,,,,,,最大生命值+700，生命值回復量+0.7，最大水份值+700，最大耐力值+700，耐力值回復量+0.8，攻击速度+16.3%,最大生命值+700，生命值回復量+0.7，最大水份值+700，最大耐力值+700，耐力值回復量+0.8，攻擊速度+16.3%,
attElementResistRank8LongDesc,progression,Attribute,,,"Maximum Health +800, Physical Recovery +0.8, Maximum Water +800, Maximum Stamina +800, Stamina Recovery +0.9, Attack Speed ​​+ 18.85%",,,,,,最大HP+800、HP回復+0.8、最大水分+800、最大スタミナ+800、スタミナ回復+0.9、攻撃速度+ 18.85％,,,,,,最大生命值+800，生命值回復量+0.8，最大水份值+800，最大耐力值+800，耐力值回復量+0.9，攻击速度+18.85%,最大生命值+800，生命值回復量+0.8，最大水份值+800，最大耐力值+800，耐力值回復量+0.9，攻擊速度+18.85%,
attElementResistRank9LongDesc,progression,Attribute,,,"Maximum Health +900, Health Recovery +0.9, Maximum Water +900, Maximum Stamina +900, Stamina Recovery +1, Attack Speed ​​+ 21.4%",,,,,,最大HP+900、HP回復+0.9、最大水分+900、最大スタミナ+900、スタミナ回復+1、攻撃速度+ 21.4％,,,,,,最大生命值+900，生命值回復量+0.9，最大水份值+900，最大耐力值+900，耐力值回復量+1，攻击速度+21.4%,最大生命值+900，生命值回復量+0.9，最大水份值+900，最大耐力值+900，耐力值回復量+1，攻擊速度+21.4%,
attElementResistRank10LongDesc,progression,Attribute,,,"Maximum Health +1000, Health Recovery +1, Maximum Moisture +1000, Maximum Stamina +1000, Stamina Recovery +1.2, Attack Speed ​​+ 23.95%",,,,,,最大HP+1000、HP回復+1、最大水分+1000、最大スタミナ+1000、スタミナ回復+1.2、攻撃速度+ 23.95％,,,,,,最大生命值+1000，生命值回復量+1，最大水份值+1000，最大耐力值+1000，耐力值回復量+1.2，攻击速度+23.95%,最大生命值+1000，生命值回復量+1，最大水份值+1000，最大耐力值+1000，耐力值回復量+1.2，攻擊速度+23.95%,
attElementResistRank11LongDesc,progression,Attribute,,,"Maximum Health +1100, Health Recovery +1.1, Maximum Water +1100, Maximum Stamina +1100, Stamina Recovery +1.1, Attack Speed ​​+ 26.5%",,,,,,最大HP+1100、HP回復+1.1、最大水分+1100、最大スタミナ+1100、スタミナ回復+1.1、攻撃速度+ 26.5％,,,,,,最大生命值+1100，生命值回復量+1.1，最大水份值+1100，最大耐力值+1100，耐力值回復量+1.1，攻击速度+26.5%,最大生命值+1100，生命值回復量+1.1，最大水份值+1100，最大耐力值+1100，耐力值回復量+1.1，攻擊速度+26.5%,
attElementResistRank12LongDesc,progression,Attribute,,,"Maximum Health +1200, Physical Recovery +1.2, Maximum Water +1200, Maximum Stamina +1200, Stamina Recovery +1.2, Attack Speed ​​+ 29.05%",,,,,,最大HP+1200、HP回復+1.2、最大水分+1200、最大スタミナ+1200、スタミナ回復+1.2、攻撃速度+ 29.05％,,,,,,最大生命值+1200，生命值回復量+1.2，最大水份值+1200，最大耐力值+1200，耐力值回復量+1.2，攻击速度+29.05%,最大生命值+1200，生命值回復量+1.2，最大水份值+1200，最大耐力值+1200，耐力值回復量+1.2，攻擊速度+29.05%,
attElementResistRank13LongDesc,progression,Attribute,,,"Maximum Health +1300, Health Recovery +1.3, Maximum Water +1300, Maximum Stamina +1300, Stamina Recovery +1.3, Attack Speed ​​+ 31.6%",,,,,,最大HP+1300、HP回復+1.3、最大水分+1300、最大スタミナ+1300、スタミナ回復+1.3、攻撃速度+ 31.6％,,,,,,最大生命值+1300，生命值回復量+1.3，最大水份值+1300，最大耐力值+1300，耐力值回復量+1.3，攻击速度+31.6%,最大生命值+1300，生命值回復量+1.3，最大水份值+1300，最大耐力值+1300，耐力值回復量+1.3，攻擊速度+31.6%,
attElementResistRank14LongDesc,progression,Attribute,,,"Maximum Health +1400, Physical Recovery +1.4, Maximum Water +1400, Maximum Stamina +1400, Stamina Recovery +1.5, Attack Speed ​​+ 34.15%",,,,,,最大HP+1400、HP回復+1.4、最大水分+1400、最大スタミナ+1400、スタミナ回復+1.5、攻撃速度+ 34.15％,,,,,,最大生命值+1400，生命值回復量+1.4，最大水份值+1400，最大耐力值+1400，耐力值回復量+1.5，攻击速度+34.15%,最大生命值+1400，生命值回復量+1.4，最大水份值+1400，最大耐力值+1400，耐力值回復量+1.5，攻擊速度+34.15%,
attElementResistRank15LongDesc,progression,Attribute,,,"Maximum Health +1500, Health Recovery +1.5, Maximum Moisture +1500, Maximum Stamina +1500, Stamina Recovery +1.6, Attack Speed ​​+ 36.7%",,,,,,最大HP+1500、HP回復+1.5、最大水分+1500、最大スタミナ+1500、スタミナ回復+1.6、攻撃速度+ 36.7％,,,,,,最大生命值+1500，生命值回復量+1.5，最大水份值+1500，最大耐力值+1500，耐力值回復量+1.6，攻击速度+36.7%,最大生命值+1500，生命值回復量+1.5，最大水份值+1500，最大耐力值+1500，耐力值回復量+1.6，攻擊速度+36.7%,
attElementResistRank16LongDesc,progression,Attribute,,,"Maximum Health +1600, Health Recovery +1.6, Maximum Water +1600, Maximum Stamina +1600, Stamina Recovery +1.7, Attack Speed ​​+ 39.25%",,,,,,最大HP+1600、HP回復+1.6、最大水分+1600、最大スタミナ+1600、スタミナ回復+1.7、攻撃速度+ 39.25％,,,,,,最大生命值+1600，生命值回復量+1.6，最大水份值+1600，最大耐力值+1600，耐力值回復量+1.7，攻击速度+39.25%,最大生命值+1600，生命值回復量+1.6，最大水份值+1600，最大耐力值+1600，耐力值回復量+1.7，攻擊速度+39.25%,
attElementResistRank17LongDesc,progression,Attribute,,,"Maximum Health +1700, Physical Recovery +1.7, Maximum Moisture +1700, Maximum Stamina +1700, Stamina Recovery +1.8, Attack Speed ​​+ 41.8%",,,,,,最大HP+1700、HP回復+1.7、最大水分+1700、最大スタミナ+1700、スタミナ回復+1.8、攻撃速度+ 41.8％,,,,,,最大生命值+1700，生命值回復量+1.7，最大水份值+1700，最大耐力值+1700，耐力值回復量+1.8，攻击速度+41.8%,最大生命值+1700，生命值回復量+1.7，最大水份值+1700，最大耐力值+1700，耐力值回復量+1.8，攻擊速度+41.8%,
attElementResistRank18LongDesc,progression,Attribute,,,"Maximum Health +1800, Physical Recovery +1.8, Maximum Water +1800, Maximum Stamina +1800, Stamina Recovery +1.9, Attack Speed ​​+ 44.35%",,,,,,最大HP+1800、HP回復+1.8、最大水分+1800、最大スタミナ+1800、スタミナ回復+1.9、攻撃速度+ 44.35％,,,,,,最大生命值+1800，生命值回復量+1.8，最大水份值+1800，最大耐力值+1800，耐力值回復量+1.9，攻击速度+44.35%,最大生命值+1800，生命值回復量+1.8，最大水份值+1800，最大耐力值+1800，耐力值回復量+1.9，攻擊速度+44.35%,
attElementResistRank19LongDesc,progression,Attribute,,,"Maximum Health +1900, Health Recovery +1.9, Maximum Water +1900, Maximum Stamina +1900, Stamina Recovery +2, Attack Speed ​​+ 46.9%",,,,,,最大HP+1900、HP回復+1.9、最大水分+1900、最大スタミナ+1900、スタミナ回復+2、攻撃速度+ 46.9％,,,,,,最大生命值+1900，生命值回復量+1.9，最大水份值+1900，最大耐力值+1900，耐力值回復量+2，攻击速度+46.9%,最大生命值+1900，生命值回復量+1.9，最大水份值+1900，最大耐力值+1900，耐力值回復量+2，攻擊速度+46.9%,
attElementResistRank20LongDesc,progression,Attribute,,,"Maximum Health +2000, Health Recovery +2, Maximum Moisture +2000, Maximum Stamina +2000, Stamina Recovery +2.1, Attack Speed ​​+ 50%",,,,,,最大HP+2000、HP回復+2、最大水分+2000、最大スタミナ+2000、スタミナ回復+2.1、攻撃速度+ 50％,,,,,,最大生命值+2000，生命值回復量+2，最大水份值+2000，最大耐力值+2000，耐力值回復量+2.1，攻击速度+50%,最大生命值+2000，生命值回復量+2，最大水份值+2000，最大耐力值+2000，耐力值回復量+2.1，攻擊速度+50%,

skillChangePhysiqueName,progression,Skill,,,Changing The Physique,,,,,,体格を変える,,,,,,改变体质,改變體質,
skillChangePhysiqueDesc,progression,Skill,,,Modifying an individual's constitution to accommodate testing in various environments.,,,,,,さまざまな環境のテストに対応するために個人の体質を変更する,,,,,,改变个人体质以应付各种环境的考验,改變個人體質以應付各種環境的考驗,
skillEclipseName,progression,Skill,,,Erosion,,,,,,侵食,,,,,,蚀化,蝕化,
skillEclipseDesc,progression,Skill,,,Make significant changes to your goals.,,,,,,目標に大幅な変更を加える,,,,,,针对目标进行各种实质上的改变,針對目標進行各種實質上的改變,
skillAsceticName,progression,Skill,,,Deity,,,,,,行者,,,,,,苦行僧,苦行僧,
skillAsceticDesc,progression,Skill,,,Practice of the ability to punch the world with bare hands.,,,,,,素手で世界をパンチする能力の練習,,,,,,实践赤手空拳打天下的本领,實踐赤手空拳打天下的本領,
skillDestructiveAestheticsName,progression,Skill,,,Destruction Of Aesthetics,,,,,,美学の破壊,,,,,,破坏美学,破壞美學,
skillDestructiveAestheticsDesc,progression,Skill,,,Reform and strengthen the use of hammers.,,,,,,ハンマーの使い方を改革・強化,,,,,,针对大铁锤的用法进行改造强化,針對大鐵錘的用法進行改造強化,
skillFusionLeapTechnologyName,progression,Skill,,,Fusion Leap Technology,,,,,,フュージョン飛躍テクノロジー,,,,,,融合飞跃技术,融合飛躍技術,
skillFusionLeapTechnologyDesc,progression,Skill,,,Use element fusion techniques to quickly upgrade weapon tools.,,,,,,要素融合技術を使用して、武器ツールをすばやくアップグレードする,,,,,,使用元素融合技术让武器工具快速升级,使用元素融合技術讓武器工具快速升級,

reqERLevel5,progression,Attribute,,,Level 5,,,,,,レベル5,,,,,,等级5,等級5,
reqERLevel10,progression,Attribute,,,Level 10,,,,,,レベル10,,,,,,等级10,等級10,
reqERLevel15,progression,Attribute,,,Level 15,,,,,,レベル15,,,,,,等级15,等級15,
reqERLevel20,progression,Attribute,,,Level 20,,,,,,レベル20,,,,,,等级20,等級20,
reqERLevel25,progression,Attribute,,,Level 25,,,,,,レベル25,,,,,,等级25,等級25,
reqERLevel30,progression,Attribute,,,Level 30,,,,,,レベル30,,,,,,等级30,等級30,
reqERLevel35,progression,Attribute,,,Level 35,,,,,,レベル35,,,,,,等级35,等級35,
reqERLevel40,progression,Attribute,,,Level 40,,,,,,レベル40,,,,,,等级40,等級40,
reqERLevel45,progression,Attribute,,,Level 45,,,,,,レベル45,,,,,,等级45,等級45,
reqERLevel50,progression,Attribute,,,Level 50,,,,,,レベル50,,,,,,等级50,等級50,
reqERLevel55,progression,Attribute,,,Level 55,,,,,,レベル55,,,,,,等级55,等級55,
reqERLevel60,progression,Attribute,,,Level 60,,,,,,レベル60,,,,,,等级60,等級60,
reqERLevel65,progression,Attribute,,,Level 65,,,,,,レベル65,,,,,,等级65,等級65,
reqERLevel70,progression,Attribute,,,Level 70,,,,,,レベル70,,,,,,等级70,等級70,
reqERLevel75,progression,Attribute,,,Level 75,,,,,,レベル75,,,,,,等级75,等級75,
reqERLevel80,progression,Attribute,,,Level 80,,,,,,レベル80,,,,,,等级80,等級80,
reqERLevel85,progression,Attribute,,,Level 85,,,,,,レベル85,,,,,,等级85,等級85,
reqERLevel90,progression,Attribute,,,Level 90,,,,,,レベル90,,,,,,等级90,等級90,
reqERLevel95,progression,Attribute,,,Level 95,,,,,,レベル95,,,,,,等级95,等級95,
reqERLevel100,progression,Attribute,,,Level 100,,,,,,レベル100,,,,,,等级100,等級100,
reqERLevel110,progression,Attribute,,,Level 110,,,,,,レベル110,,,,,,等级110,等級110,
reqERLevel120,progression,Attribute,,,Level 120,,,,,,レベル120,,,,,,等级120,等級120,
reqERLevel130,progression,Attribute,,,Level 130,,,,,,レベル130,,,,,,等级130,等級130,
reqERLevel140,progression,Attribute,,,Level 140,,,,,,レベル140,,,,,,等级140,等級140,
reqERLevel150,progression,Attribute,,,Level 150,,,,,,レベル150,,,,,,等级150,等級150,
reqERLevel160,progression,Attribute,,,Level 160,,,,,,レベル160,,,,,,等级160,等級160,
reqERLevel170,progression,Attribute,,,Level 170,,,,,,レベル170,,,,,,等级170,等級170,
reqERLevel180,progression,Attribute,,,Level 180,,,,,,レベル180,,,,,,等级180,等級180,
reqERLevel190,progression,Attribute,,,Level 190,,,,,,レベル190,,,,,,等级190,等級190,
reqERLevel200,progression,Attribute,,,Level 200,,,,,,レベル200,,,,,,等级200,等級200,
reqERLevel210,progression,Attribute,,,Level 210,,,,,,レベル210,,,,,,等级210,等級210,
reqERLevel220,progression,Attribute,,,Level 220,,,,,,レベル220,,,,,,等级220,等級220,
reqERLevel230,progression,Attribute,,,Level 230,,,,,,レベル230,,,,,,等级230,等級230,
reqERLevel240,progression,Attribute,,,Level 240,,,,,,レベル240,,,,,,等级240,等級240,
reqERLevel250,progression,Attribute,,,Level 250,,,,,,レベル250,,,,,,等级250,等級250,
reqERLevel300,progression,Attribute,,,Level 300,,,,,,レベル300,,,,,,等级300,等級300,
reqERLevel350,progression,Attribute,,,Level 350,,,,,,レベル350,,,,,,等级350,等級350,
reqERLevel400,progression,Attribute,,,Level 400,,,,,,レベル400,,,,,,等级400,等級400,
reqERLevel450,progression,Attribute,,,Level 450,,,,,,レベル450,,,,,,等级450,等級450,
reqERLevel500,progression,Attribute,,,Level 500,,,,,,レベル500,,,,,,等级500,等級500,
reqERLevel550,progression,Attribute,,,Level 550,,,,,,レベル550,,,,,,等级550,等級550,
reqERLevel600,progression,Attribute,,,Level 600,,,,,,レベル600,,,,,,等级600,等級600,
reqERLevel650,progression,Attribute,,,Level 650,,,,,,レベル650,,,,,,等级650,等級650,
reqERLevel700,progression,Attribute,,,Level 700,,,,,,レベル700,,,,,,等级700,等級700,
reqERLevel750,progression,Attribute,,,Level 750,,,,,,レベル750,,,,,,等级750,等級750,
reqERLevel800,progression,Attribute,,,Level 800,,,,,,レベル800,,,,,,等级800,等級800,
reqERLevel850,progression,Attribute,,,Level 850,,,,,,レベル850,,,,,,等级850,等級850,
reqERLevel900,progression,Attribute,,,Level 900,,,,,,レベル900,,,,,,等级900,等級900,

perkGunArrayName,progression,Perk,,,Gun Array,,,,,,砲兵アレイ,,,,,,砲阵,砲陣,
perkGunArrayDesc,progression,Perk,,,"Strengthen the combat power of the junk turret and increase the number and distance it can be activated.\nRequires ""Turrets Syndrome"" skill level 5.",,,,,,ガラクタ砲台の戦闘力を強化し、発動できる数と距離を増やします。\n「砲塔症候群」スキルレベル5が必要です。,,,,,,强化垃圾砲的战力，增加可启动数量与启动距离。\n需要砲塔综合症技能5级。,強化垃圾砲的戰力，增加可啟動數量與啟動距離。\n需要砲塔綜合症技能5級。,
perkGunArrayRank1Desc,progression,Perk,,,Gun Array level 1,,,,,,砲兵アレイ レベル1,,,,,,砲阵一级,砲陣一級,
perkGunArrayRank2Desc,progression,Perk,,,Gun Array level 2,,,,,,砲兵アレイ レベル2,,,,,,砲阵二级,砲陣二級,
perkGunArrayRank3Desc,progression,Perk,,,Gun Array level 3,,,,,,砲兵アレイ レベル3,,,,,,砲阵三级,砲陣三級,
perkGunArrayRank4Desc,progression,Perk,,,Gun Array level 4,,,,,,砲兵アレイ レベル4,,,,,,砲阵四级,砲陣四級,
perkGunArrayRank5Desc,progression,Perk,,,Gun Array level 5,,,,,,砲兵アレイ レベル5,,,,,,砲阵五级,砲陣五級,
perkGunArrayRank6Desc,progression,Perk,,,Gun Array level 6,,,,,,砲兵アレイ レベル6,,,,,,砲阵六级,砲陣六級,
perkGunArrayRank7Desc,progression,Perk,,,Gun Array level 7,,,,,,砲兵アレイ レベル7,,,,,,砲阵七级,砲陣七級,
perkGunArrayRank8Desc,progression,Perk,,,Gun Array level 8,,,,,,砲兵アレイ レベル8,,,,,,砲阵八级,砲陣八級,
perkGunArrayRank9Desc,progression,Perk,,,Gun Array level 9,,,,,,砲兵アレイ レベル9,,,,,,砲阵九级,砲陣九級,
perkGunArrayRank10Desc,progression,Perk,,,Gun Array level 10,,,,,,砲兵アレイ レベル10,,,,,,砲阵十级,砲陣十級,
perkGunArrayRank1LongDesc,progression,Perk,,,"Active Count+1, Active Range+3, Magazine Size+10%, Reload speed + 10%",,,,,,同時稼働数+1、タレット稼働範囲+3、マガジンサイズ+10%、リロード速度+ 10％,,,,,,启动数量+1，启动范围+3，弹匣量+10%，装弹速度+10%,啟動數量+1，啟動範圍+3，彈匣量+10%，裝彈速度+10%,
perkGunArrayRank2LongDesc,progression,Perk,,,"Active Count+2, Active Range+6, Magazine Size+20%, Reload speed + 20%",,,,,,同時稼働数+2、タレット稼働範囲+6、マガジンサイズ+20%、リロード速度+ 20％,,,,,,启动数量+2，启动范围+6，弹匣量+20%，装弹速度+20%,啟動數量+2，啟動範圍+6，彈匣量+20%，裝彈速度+20%,
perkGunArrayRank3LongDesc,progression,Perk,,,"Active Count+3, Active Range+9, Magazine Size+30%, Reload speed + 30%",,,,,,同時稼働数+3、タレット稼働範囲+9、マガジンサイズ+30%、リロード速度+ 30％,,,,,,启动数量+3，启动范围+9，弹匣量+30%，装弹速度+30%,啟動數量+3，啟動範圍+9，彈匣量+30%，裝彈速度+30%,
perkGunArrayRank4LongDesc,progression,Perk,,,"Active Count+4, Active Range+12, Magazine Size+40%, Reload speed + 40%",,,,,,同時稼働数+4、タレット稼働範囲+12、マガジンサイズ+40%、リロード速度+ 40％,,,,,,启动数量+4，启动范围+12，弹匣量+40%，装弹速度+40%,啟動數量+4，啟動範圍+12，彈匣量+40%，裝彈速度+40%,
perkGunArrayRank5LongDesc,progression,Perk,,,"Active Count+5, Active Range+15, Magazine Size+50%, Reload speed + 50%",,,,,,同時稼働数+5、タレット稼働範囲+15、マガジンサイズ+50%、リロード速度+ 50％,,,,,,启动数量+5，启动范围+15，弹匣量+50%，装弹速度+50%,啟動數量+5，啟動範圍+15，彈匣量+50%，裝彈速度+50%,
perkGunArrayRank6LongDesc,progression,Perk,,,"Active Count+6, Active Range+18, Magazine Size+60%, Reload speed + 60%",,,,,,同時稼働数+6、タレット稼働範囲+18、マガジンサイズ+60%、リロード速度+ 60％,,,,,,启动数量+6，启动范围+18，弹匣量+60%，装弹速度+60%,啟動數量+6，啟動範圍+18，彈匣量+60%，裝彈速度+60%,
perkGunArrayRank7LongDesc,progression,Perk,,,"Active Count+7, Active Range+21, Magazine Size+70%, Reload speed + 70%",,,,,,同時稼働数+7、タレット稼働範囲+21、マガジンサイズ+70%、リロード速度+ 70％,,,,,,启动数量+7，启动范围+21，弹匣量+70%，装弹速度+70%,啟動數量+7，啟動範圍+21，彈匣量+70%，裝彈速度+70%,
perkGunArrayRank8LongDesc,progression,Perk,,,"Active Count+8, Active Range+24, Magazine Size+80%, Reload speed + 80%",,,,,,同時稼働数+8、タレット稼働範囲+24、マガジンサイズ+80%、リロード速度+ 80％,,,,,,启动数量+8，启动范围+24，弹匣量+80%，装弹速度+80%,啟動數量+8，啟動範圍+24，彈匣量+80%，裝彈速度+80%,
perkGunArrayRank9LongDesc,progression,Perk,,,"Active Count+9, Active Range+27, Magazine Size+90%, Reload speed + 90%",,,,,,同時稼働数+9、タレット稼働範囲+27、マガジンサイズ+90%、リロード速度+ 90％,,,,,,启动数量+9，启动范围+27，弹匣量+90%，装弹速度+90%,啟動數量+9，啟動範圍+27，彈匣量+90%，裝彈速度+90%,
perkGunArrayRank10LongDesc,progression,Perk,,,"Active Count+10, Active Range+30, Magazine Size+100%, Reload speed + 100%",,,,,,同時稼働数+10、タレット稼働範囲+30、マガジンサイズ+100%、リロード速度+ 100％,,,,,,启动数量+10，启动范围+30，弹匣量+100%，装弹速度+100%,啟動數量+10，啟動範圍+30，彈匣量+100%，裝彈速度+100%,

perkAmmunitionSoldierName,progression,Perk,,,Ammunition Soldiers,,,,,,弾薬兵,,,,,,弹药兵,彈藥兵,
perkAmmunitionSoldierDesc,progression,Perk,,,Increase gun loading speed and loading capacity.,,,,,,銃の装填速度と装填容量を増やします。,,,,,,提升枪砲类的装填速度与装填容量。,提升槍砲類的裝填速度與裝填容量。,
perkAmmunitionSoldierRank1Desc,progression,Perk,,,Ammo level 1,,,,,,弾薬レベル1,,,,,,弹药兵一级,彈藥兵一級,
